Time,Position_x,Position_y,Position_z,EulerAngles_x,EulerAngles_y,EulerAngles_z,pupilDiameterLeft,pupilPositionLeft_x,pupilPositionLeft_y,eyeOpenLeft,pupilDiameterRight,pupilPositionRight_x,pupilPositionRight_y,eyeOpenRightJaw_Forward,Jaw_Right,Jaw_Left,Jaw_Open,Mouth_Ape_Shape,Mouth_O_Shape,Mouth_Pout,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Mouth_Lower_Inside,Mouth_Upper_Inside,Mouth_Lower_Overlay,Mouth_Upper_Overlay,Cheek_Suck,Mouth_LowerRight_Down,Mouth_LowerLeft_Down,Mouth_UpperRight_Up,Mouth_UpperLeft_Up,Mouth_Philtrum_Right,Mouth_Philtrum_Left
2022/7/8 14:00:20,0.6336378,1.689114,0.5107093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:21,0.7283146,1.731179,0.5910693,-8.78,7.83,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7283152,1.731179,0.5910697,-8.78,7.83,5.45,3.224533,0.4882642,0.4238473,1,3.045883,0.4680902,0.389604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7298707,1.73104,0.589781,-8.72,7.69,5.41,2.876541,0.4433958,0.3303545,1,2.738693,0.460311,0.2974475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7298708,1.73104,0.5897812,-8.72,7.69,5.41,2.949799,0.4435376,0.3307301,1,2.829071,0.4604498,0.2979957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.729491,1.731094,0.5896367,-8.73,7.7,5.46,2.963425,0.443552,0.3309408,1,2.845108,0.4604332,0.2981323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7294909,1.731094,0.5896367,-8.73,7.7,5.46,2.968719,0.443552,0.3307301,1,2.845093,0.4604498,0.2982369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7294274,1.731112,0.5895017,-8.73,7.69,5.46,2.988907,0.4437133,0.3309962,1,2.859756,0.460816,0.2986882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7293199,1.731128,0.5894574,-8.73,7.69,5.47,2.99118,0.4437133,0.3309962,1,2.859268,0.460816,0.2986882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7292159,1.731134,0.5894607,-8.73,7.68,5.49,3.00206,0.4439305,0.3309553,1,2.858627,0.460816,0.2988053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.729108,1.731143,0.5894371,-8.73,7.67,5.51,3.002914,0.443945,0.3309553,1,2.867569,0.4607168,0.2988942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7291081,1.731143,0.5894371,-8.73,7.67,5.51,3.026184,0.4443915,0.3309553,1,2.870377,0.4609338,0.298911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7290069,1.731148,0.5894365,-8.73,7.67,5.53,3.036285,0.4443915,0.3309553,1,2.88446,0.4609338,0.2989154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7289169,1.731154,0.5894405,-8.73,7.66,5.55,3.043594,0.4443915,0.3309962,1,2.896408,0.4609972,0.2989311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7288309,1.731156,0.5893849,-8.73,7.65,5.57,3.055695,0.4444817,0.3311336,1,2.896317,0.4609972,0.2989154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7288309,1.731156,0.5893849,-8.73,7.65,5.57,3.055832,0.4446041,0.3311397,1,2.895203,0.4612217,0.2989154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7287502,1.731156,0.5893185,-8.74,7.64,5.58,3.082443,0.4446317,0.3311397,1,2.904144,0.4612364,0.298911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7286667,1.731153,0.5892811,-8.74,7.62,5.61,3.093369,0.4447767,0.3311336,1,2.923645,0.4612371,0.2989311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7286243,1.731153,0.5892357,-8.73,7.62,5.62,3.101563,0.4449908,0.3311336,1,2.922333,0.4612371,0.2989311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7286243,1.731153,0.5892357,-8.73,7.62,5.62,3.124954,0.4452068,0.3311397,1,2.938644,0.4614588,0.298957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7285707,1.731144,0.5892189,-8.73,7.61,5.64,3.126358,0.4452347,0.3311683,1,2.937729,0.4619531,0.2989311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7284833,1.731143,0.589205,-8.74,7.6,5.65,3.126801,0.4453315,0.3311397,1,2.938095,0.4622468,0.2988904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7285043,1.731128,0.5892212,-8.73,7.59,5.67,3.136185,0.4454308,0.3310927,1,2.959518,0.4623803,0.2988882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/7/8 14:00:22,0.7284588,1.731126,0.5892143,-8.73,7.59,5.68,3.140991,0.4457877,0.3310927,1,2.959961,0.4624862,0.2986538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
